Frecuencia,PSD
369140.625000,0.011354
371093.750000,0.010863
373046.875000,0.010932
375000.000000,0.010787
376953.125000,0.010593
378906.250000,0.010681
380859.375000,0.010465
382812.500000,0.010176
384765.625000,0.009966
386718.750000,0.009611
388671.875000,0.009641
390625.000000,0.009710
392578.125000,0.009575
394531.250000,0.009744
396484.375000,0.010117
398437.500000,0.014089
400390.625000,0.020710
402343.750000,0.011268
404296.875000,0.009341
406250.000000,0.009220
408203.125000,0.010137
410156.250000,0.008782
412109.375000,0.008538
414062.500000,0.008611
416015.625000,0.008638
417968.750000,0.008724
419921.875000,0.009995
421875.000000,0.008587
423828.125000,0.008227
425781.250000,0.008290
427734.375000,0.007866
429687.500000,0.007732
431640.625000,0.007919
433593.750000,0.007896
435546.875000,0.007673
437500.000000,0.007534
439453.125000,0.007463
441406.250000,0.007484
443359.375000,0.007560
445312.500000,0.007444
447265.625000,0.007166
449218.750000,0.007023
451171.875000,0.007015
453125.000000,0.007127
455078.125000,0.007320
457031.250000,0.008277
458984.375000,0.007295
460937.500000,0.007028
462890.625000,0.006894
464843.750000,0.007857
466796.875000,0.010184
468750.000000,0.008022
470703.125000,0.006907
472656.250000,0.006592
474609.375000,0.006470
476562.500000,0.006228
478515.625000,0.006167
480468.750000,0.006605
482421.875000,0.006474
484375.000000,0.006072
486328.125000,0.006057
488281.250000,0.006074
490234.375000,0.005978
492187.500000,0.007028
494140.625000,0.007708
496093.750000,0.005772
498046.875000,0.005825
500000.000000,0.005705
501953.125000,0.005532
503906.250000,0.005569
505859.375000,0.005789
507812.500000,0.005441
509765.625000,0.005379
511718.750000,0.005377
513671.875000,0.005234
515625.000000,0.005335
517578.125000,0.005618
519531.250000,0.005554
521484.375000,0.005416
523437.500000,0.005484
525390.625000,0.005376
527343.750000,0.005214
529296.875000,0.007844
531250.000000,0.008058
533203.125000,0.008556
535156.250000,0.006779
537109.375000,0.005252
539062.500000,0.005202
541015.625000,0.007700
542968.750000,0.010666
544921.875000,0.006331
546875.000000,0.004745
548828.125000,0.004852
550781.250000,0.004557
552734.375000,0.004495
554687.500000,0.004485
556640.625000,0.004453
558593.750000,0.004417
560546.875000,0.004393
562500.000000,0.004259
564453.125000,0.004261
566406.250000,0.004325
568359.375000,0.004222
570312.500000,0.004135
572265.625000,0.004169
574218.750000,0.004096
576171.875000,0.004178
578125.000000,0.005125
580078.125000,0.004973
582031.250000,0.004176
583984.375000,0.004010
585937.500000,0.003923
587890.625000,0.003857
589843.750000,0.005050
591796.875000,0.006012
593750.000000,0.003944
595703.125000,0.003980
597656.250000,0.004647
599609.375000,0.007518
601562.500000,0.006000
603515.625000,0.004775
605468.750000,0.005225
607421.875000,0.007012
609375.000000,0.009663
611328.125000,0.010612
613281.250000,0.007455
